dataset,source,n_samples,k,Normalization,Dimensionality_Reduction,time_prep,algorithm,metric,param_refine_iter,run_id,time_fit,total_time,radius,silhouette,ari,final_width
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,KMeans,euclidean,,0,1.3177293000007921,1.4689865000036662,15.46054011963499,0.4322884268206766,0.048538142051957806,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,KMeans,euclidean,,1,0.003344299999298528,0.15460150000217254,15.448379703430511,0.4322884268206766,0.048538142051957806,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,KMeans,euclidean,,2,0.003190200000972254,0.15444740000384627,15.448379703430511,0.4322884268206766,0.048538142051957806,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,KMeans,euclidean,,3,0.0036749000028066803,0.1549321000056807,15.47349544999528,0.4322884268206766,0.048538142051957806,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,KMeans,euclidean,,4,0.0034938999997393694,0.15475110000261338,15.46054011963499,0.4322884268206766,0.048538142051957806,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,KMeans,euclidean,,5,0.003538599998137215,0.15479580000101123,15.46054011963499,0.4322884268206766,0.048538142051957806,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,KMeans,euclidean,,6,0.0034425000012561213,0.15469970000413014,15.47349544999528,0.4322884268206766,0.048538142051957806,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,KMeans,euclidean,,7,0.0038778999987698626,0.15513510000164388,15.46054011963499,0.4322884268206766,0.048538142051957806,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,KMeans,euclidean,,8,0.0035610000013548415,0.15481820000422886,15.46054011963499,0.4322884268206766,0.048538142051957806,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,KMeans,euclidean,,9,0.003490600000077393,0.1547478000029514,15.47349544999528,0.4322884268206766,0.048538142051957806,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,KMeans,euclidean,,10,0.00294930000018212,0.15420650000305614,15.434362735757011,0.4322884268206766,0.048538142051957806,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,KMeans,euclidean,,11,0.0031409999974130187,0.15439820000028703,15.448379703430511,0.4322884268206766,0.048538142051957806,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,KMeans,euclidean,,12,0.003512600000249222,0.15476980000312324,15.473495449995278,0.4322884268206766,0.048538142051957806,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,KMeans,euclidean,,13,0.003568299998732982,0.154825500001607,15.448379703430511,0.4322884268206766,0.048538142051957806,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,KMeans,euclidean,,14,0.004481100000703009,0.15573830000357702,15.46054011963499,0.4322884268206766,0.048538142051957806,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,euclidean,,0,7.720000212430023e-05,0.15133440000499832,15.97104488825011,0.371654709618432,0.05750917533498546,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,euclidean,,1,5.740000051446259e-05,0.15131460000338848,13.188221651295523,0.464390753713338,0.06533419009646282,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,euclidean,,2,5.020000025979243e-05,0.1513074000031338,15.431871656882715,0.46710851291077576,0.09296631906750022,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,euclidean,,3,5.8099998568650335e-05,0.15131530000144267,15.158952886557634,0.46523144806617994,0.05797970217502205,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,euclidean,,4,5.5100001191021875e-05,0.15131230000406504,19.09954147617162,0.32497463021295075,0.02623350492208905,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,euclidean,,5,5.7699999160831794e-05,0.15131490000203485,14.88791615083857,0.38102041279061327,0.027288183465924862,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,euclidean,,6,4.73000000056345e-05,0.15130450000287965,16.645455785475534,0.464233369304467,0.031126273302915074,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,euclidean,,7,4.699999772128649e-05,0.1513042000005953,16.706643083109185,0.468487520885083,0.10093128602131117,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,euclidean,,8,5.830000009154901e-05,0.15131550000296556,19.349685271448216,0.3167434816138418,0.03155224198347722,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,euclidean,,9,4.660000195144676e-05,0.15130380000482546,13.530544560341982,0.4654194775957173,0.0627740589032819,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,euclidean,,10,4.9100002797786146e-05,0.1513063000056718,16.070903947584902,0.4637948378480928,0.07465135146958114,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,euclidean,,11,5.0400001782691106e-05,0.1513076000046567,14.137579749730858,0.40966489401575296,0.06693215505074258,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,euclidean,,12,4.930000068270601e-05,0.15130650000355672,18.96042772313167,0.4620305576134685,0.08309120814613272,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,euclidean,,13,4.609999814420007e-05,0.15130330000101821,17.571436372988977,0.4656929402311404,0.08919727787316044,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,euclidean,,14,4.859999899053946e-05,0.15130580000186455,14.626461151748225,0.4253620547034678,0.057668094432799175,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,manhattan,,0,5.0099999498343095e-05,0.15130730000237236,25.76932,0.3901876835413288,0.09649992144584275,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,manhattan,,1,4.699999772128649e-05,0.1513042000005953,25.6867,0.4601504325428287,0.09490329550268212,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,manhattan,,2,4.53000029665418e-05,0.15130250000584056,32.7769,0.46037216467968517,0.04100144430418195,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,manhattan,,3,5.8000001445179805e-05,0.1513152000043192,27.79481,0.46381396327409335,0.054099814127207074,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,manhattan,,4,5.280000186758116e-05,0.1513100000047416,26.534280000000003,0.46210841225056126,0.06169007976313336,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,manhattan,,5,6.039999789209105e-05,0.1513176000007661,24.52103,0.3842163820638152,0.06291078688794256,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,manhattan,,6,4.6799999836366624e-05,0.15130400000271038,33.1537,0.4658188643243506,0.0909268517055672,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,manhattan,,7,5.970000347588211e-05,0.1513169000063499,22.45734,0.4646225770381548,0.06771944704150573,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,manhattan,,8,4.959999932907522e-05,0.1513068000022031,25.481444,0.464508450824057,0.055639177010699696,
dataset_Banknote_Authentication.csv,real_uci,1372,2,,Não,0.15125720000287401,Greedy,manhattan,,9,4.900000203633681e-05,0.15130620000491035,24.345299999999998,0.4629046696738659,0.07562568786375386,
