ID,l,b,R_Sun (d),[Fe/H],b (abs),dz,b (rad),X,Y,Z,R_gc
Terzan 9,3.61,-1.99,7.10,-1.05,1.99,-0.25,-0.03,7.10,0.40,-0.20,1.10
Terzan 10,4.49,-1.99,5.80,-1.00,1.99,-0.20,-0.03,5.80,0.50,-0.20,2.30
Terzan 12,8.37,-2.10,4.80,-0.50,2.10,-0.18,-0.04,4.70,0.70,-0.20,3.40
NGC 6544,5.84,-2.20,3.00,-1.40,2.20,-0.12,-0.04,2.90,0.30,-0.10,5.10
GLIMPSE02,14.14,-0.64,5.50,-0.33,0.64,-0.06,-0.01,5.40,1.40,-0.10,3.00
2MS-GC02,9.79,-0.61,4.90,-1.08,0.61,-0.05,-0.01,4.90,0.80,-0.10,3.20
Liller 1,354.84,-0.16,8.20,-0.33,0.16,-0.02,0.00,8.20,-0.70,0.00,0.80
UKS 1,5.13,0.76,7.80,-0.64,0.76,0.10,0.01,7.80,0.70,0.10,0.70
Terzan 1,357.57,1.00,6.70,-1.03,1.00,0.12,0.02,6.70,-0.30,0.10,1.30
Terzan 4,356.02,1.31,7.20,-1.41,1.31,0.16,0.02,7.20,-0.50,0.20,1.00
Pal 6,2.10,1.78,5.80,-0.91,1.78,0.18,0.03,5.80,0.20,0.20,2.20
Terzan 5,3.84,1.69,6.90,-0.23,1.69,0.20,0.03,6.90,0.50,0.20,1.20
Pal 10,52.43,2.72,5.90,-0.10,2.72,0.28,0.05,3.60,4.70,0.30,6.40
Terzan 2,356.32,2.30,7.50,-0.69,2.30,0.30,0.04,7.50,-0.50,0.30,0.80
HP 1,357.44,2.12,8.20,-1.00,2.12,0.30,0.04,8.20,-0.40,0.30,0.50
IC 1276,21.83,5.67,5.40,-0.75,5.67,0.53,0.10,5.00,2.00,0.50,3.70
NGC 6304,355.83,5.38,5.90,-0.45,5.38,0.55,0.09,5.80,-0.40,0.60,2.30
NGC 6440,7.73,3.80,8.50,-0.36,3.80,0.56,0.07,8.40,1.10,0.60,1.30
NGC 6256,347.79,3.31,10.30,-1.02,3.31,0.59,0.06,10.00,-2.20,0.60,3.00
NGC 6121,350.97,15.97,2.20,-1.16,15.97,0.61,0.28,2.10,-0.30,0.60,5.90
NGC 5927,326.60,4.86,7.70,-0.49,4.86,0.65,0.08,6.40,-4.20,0.70,4.60
NGC 6401,3.45,3.98,10.60,-1.02,3.98,0.74,0.07,10.50,0.60,0.70,2.70
NGC 3201,277.23,8.64,4.90,-1.59,8.64,0.74,0.15,0.60,-4.80,0.70,8.80
NGC 5946,327.58,4.19,10.60,-1.29,4.19,0.77,0.07,8.90,-5.60,0.80,5.80
NGC 6266,353.57,7.32,6.80,-1.18,7.32,0.87,0.13,6.70,-0.80,0.90,1.70
NGC 6355,359.59,5.43,9.20,-1.37,5.43,0.87,0.09,9.20,-0.10,0.90,1.40
NGC 6539,20.80,6.78,7.80,-0.63,6.78,0.92,0.12,7.20,2.80,0.90,3.00
NGC 6366,18.41,16.04,3.50,-0.59,16.04,0.97,0.28,3.20,1.10,1.00,5.00
NGC 6316,357.18,5.76,10.40,-0.45,5.76,1.04,0.10,10.40,-0.50,1.00,2.60
NGC 6325,0.97,8.00,7.80,-1.25,8.00,1.09,0.14,7.70,0.10,1.10,1.10
NGC 6139,342.37,6.94,10.10,-1.65,6.94,1.22,0.12,9.60,-3.00,1.20,3.60
NGC 6535,27.18,10.44,6.80,-1.79,10.44,1.23,0.18,6.00,3.10,1.20,3.90
NGC 6517,19.23,6.76,10.60,-1.23,6.76,1.25,0.12,10.00,3.50,1.30,4.20
NGC 6293,357.62,7.83,9.50,-1.99,7.83,1.29,0.14,9.40,-0.40,1.30,1.90
Terzan 3,345.08,9.19,8.20,-0.74,9.19,1.31,0.16,7.80,-2.10,1.30,2.50
NGC 5139,309.10,14.97,5.20,-1.53,14.97,1.34,0.26,3.10,-3.90,1.30,6.40
NGC 6779,62.66,8.34,9.40,-1.98,8.34,1.36,0.15,4.30,8.30,1.40,9.20
BH 176,328.41,4.34,18.90,0.00,4.34,1.43,0.08,16.10,-9.90,1.40,12.90
NGC 6273,356.87,9.38,8.80,-1.74,9.38,1.43,0.16,8.70,-0.50,1.40,1.70
NGC 6342,4.90,9.72,8.50,-0.55,9.72,1.44,0.17,8.40,0.70,1.40,1.70
NGC 6333,5.54,10.71,7.90,-1.77,10.71,1.47,0.19,7.70,0.70,1.50,1.70
NGC 6254,15.14,23.08,4.40,-1.56,23.08,1.72,0.40,3.90,1.10,1.70,4.60
1636-283,351.91,12.10,8.30,-1.50,12.10,1.74,0.21,8.00,-1.10,1.70,2.10
NGC 6287,0.13,11.02,9.40,-2.10,11.02,1.80,0.19,9.20,0.00,1.80,2.10
NGC 6218,15.72,26.31,4.80,-1.37,26.31,2.13,0.46,4.20,1.20,2.10,4.50
NGC 5286,311.61,10.57,11.70,-1.69,10.57,2.15,0.18,7.60,-8.60,2.10,8.90
NGC 6402,21.32,14.81,9.30,-1.28,14.81,2.38,0.26,8.30,3.30,2.40,4.00
NGC 5986,337.02,13.27,10.40,-1.59,13.27,2.39,0.23,9.30,-4.00,2.40,4.80
NGC 6144,351.93,15.70,8.90,-1.76,15.70,2.41,0.27,8.50,-1.20,2.40,2.70
NGC 6171,3.37,23.01,6.40,-1.02,23.01,2.50,0.40,5.90,0.30,2.50,3.30
NGC 6284,358.35,9.94,15.30,-1.26,9.94,2.64,0.17,15.00,-0.40,2.60,7.50
NGC 6356,6.72,10.22,15.10,-0.40,10.22,2.68,0.18,14.70,1.70,2.70,7.50
NGC 6235,358.92,13.52,11.50,-1.28,13.52,2.69,0.24,11.20,-0.20,2.70,4.20
NGC 6093,352.67,19.46,10.00,-1.75,19.46,3.33,0.34,9.40,-1.20,3.30,3.80
Pal 1,130.06,19.03,11.10,-0.65,19.03,3.62,0.33,-6.80,8.10,3.60,17.20
Rup 106,300.88,11.67,21.20,-1.68,11.67,4.29,0.20,10.70,-17.80,4.30,18.50
NGC 6205,59.01,40.91,7.10,-1.53,40.91,4.65,0.71,2.80,4.60,4.70,8.40
NGC 6341,68.34,34.86,8.30,-2.31,34.86,4.74,0.61,2.50,6.30,4.70,9.60
Pyxis,261.32,7.00,39.40,-1.20,7.00,4.80,0.12,-5.90,-38.70,4.80,41.40
NGC 5904,3.86,46.80,7.50,-1.29,46.80,5.47,0.82,5.10,0.30,5.50,6.20
NGC 6426,28.09,16.23,20.60,-2.15,16.23,5.76,0.28,17.40,9.30,5.80,14.40
NGC 4590,299.63,36.05,10.30,-2.23,36.05,6.06,0.63,4.10,-7.20,6.00,10.20
NGC 5897,342.95,30.29,12.50,-1.90,30.29,6.30,0.53,10.30,-3.20,6.30,7.40
IC 1257,16.54,15.15,25.00,-1.70,15.15,6.53,0.26,23.20,6.90,6.50,17.90
NGC 5272,42.22,78.71,10.20,-1.50,78.71,10.00,1.37,1.50,1.30,10.00,12.00
NGC 5824,332.56,22.07,32.10,-1.91,22.07,12.06,0.39,26.40,-13.70,12.10,25.90
NGC 5466,42.15,73.59,16.00,-1.98,73.59,15.35,1.28,3.30,3.00,15.30,16.30
Pal 5,0.85,45.86,23.20,-1.41,45.86,16.65,0.80,16.20,0.20,16.70,18.60
NGC 5053,335.70,78.95,17.40,-2.27,78.95,17.08,1.38,3.00,-1.40,17.10,17.80
NGC 5024,332.96,79.76,17.90,-2.10,79.76,17.61,1.39,2.80,-1.40,17.60,18.40
NGC 5694,331.06,30.36,35.00,-1.98,30.36,17.69,0.53,26.40,-14.60,17.70,29.40
AM 4,320.28,33.51,32.20,-1.30,33.51,17.78,0.58,20.70,-17.20,17.80,27.80
Pal 15,18.88,24.30,45.10,-2.07,24.30,18.56,0.42,38.90,13.30,18.60,38.40
NGC 4147,252.85,77.19,19.30,-1.80,77.19,18.82,1.35,-1.30,-4.10,18.80,21.40
NGC 5634,342.21,49.26,25.20,-1.88,49.26,19.09,0.86,15.70,-5.00,19.10,21.20
NGC 6229,73.64,40.31,30.50,-1.47,40.31,19.73,0.70,6.50,22.30,19.70,29.80
NGC 2419,180.37,25.24,82.60,-2.15,25.24,35.22,0.44,-74.70,-0.50,35.20,89.90
Pal 14,28.74,42.19,76.50,-1.62,42.19,51.38,0.74,49.70,27.30,51.40,71.60
Pal 3,240.15,41.86,92.50,-1.63,41.86,61.73,0.73,-34.30,-59.70,61.70,95.70
Pal 4,202.31,71.80,108.70,-1.41,71.80,103.26,1.25,-31.40,-12.90,103.20,111.20
